schema_id,sub_category,n_sections,n_rows_total,n_source_files,example_source_file
sha1:a44d3cb9cd0e45562d3bc391fb0a6bfd9f99fdca,,2,5,1,axesoyar_afygransis.json
sha1:a47b963096089ae4cb6b45eeca223a9050aa32db,,1,11,1,thermantika_ygraerioy.json
sha1:a4815acc782c677a42ac612464839720416b8d58,,3,28,1,fotografikes.json
sha1:a4bbd4ee3cc144e68525a7a5a9504beff8445f57,,3,6,1,entomoapothitika.json
sha1:a51bf1f30f2acacf96bf1fd23fb64bd014c87556,,3,18,1,artoparaskeyastes.json
sha1:a567e471ff29cfcfaa60abc31d6a1ef8dba7f3cc,,3,12,1,ilektrika_mprikia.json
sha1:a8d61e803f4dfc943f8fc139d9db077a947fedb4,,1,7,1,prostateytika_reymatos.json
sha1:a9c9e7421a8719d56fcfe817d078a56f4e9aa2be,,2,6,1,axesoyar_analosima_thermos.json
sha1:b3838a8451dcd9da1f922f06501f193ee2182fd9,,1,1,4,axesoyar_klimatistikon.json
sha1:b542e682075de64d8b91a4ef64c38e04edb061e6,,3,15,1,xytres.json
sha1:b6561906abf4eea130e08e0de5f6f76ef398d80b,,1,9,1,karvoynoy.json
sha1:b6569dcdbe33f70fbcd2e1a90946ab9aac2ae40d,,4,28,1,afygrantires.json
sha1:b82bdc75c8785ba0f2e4456f2c0b111a6ce42099,,2,12,1,zygaries_koyzinas.json
sha1:b86315dad620d37ebb3f1de79973db72d907bcd4,,2,12,1,mixer.json
sha1:bdc3a7a58f6e54f238febb4532e039969415e29e,,2,9,1,thermastres_petrelaioy.json
sha1:bdc8c08eec39d21a028f7ee939931aefa032517b,,1,5,1,atmokatharistes.json
sha1:bdef05933faf19818da956dd3c57ecdb57245055,,2,17,1,radio_cd.json
sha1:be0282a97ba6dbcc40ebdac9ac5969eefa04d34f,,1,18,1,koyreytikes_mixanes.json
sha1:bedba51a652021af79d3daf464820a053d8b8ea5,,3,4,1,diafora_skeyi.json
sha1:c4fe60f83eafd5eab2dc4892fd0ca3a76423d5c6,,2,17,1,ensyrmata.json
sha1:c6edc11ad35beed894102a54675ee96a0ee5dacd,,2,25,1,kafetieres_espresso.json
sha1:c7eeb056482b79df83a897552de3cf7ddcc089db,,3,6,1,tapsia.json
sha1:c826ff14544d6f1f063407f9ecaebed9e44e56bb,,2,5,1,melania.json
sha1:c93e9cc3b2eacb8da30d0d2fea5e3fa2e381ab1c,,1,5,1,tsantes_laptop.json
sha1:caaede637001f2316ade6c0f4502cc7d8c344b2e,,2,4,1,axesoyar_analosima.json
sha1:cb35bfdcd1d11050e086a3f5f09b9b1906702c2d,,3,14,1,katharistes_aera_ionistes.json
sha1:cb837c039f544868f3e2d7696ff2bbc76a4f6abf,,3,12,1,gastres.json
sha1:cd9ee57d9fa534540b89587b8b4f0384fb81bbf6,,2,15,1,ravdomplenter.json
sha1:ce85b8f826d5442106d4e9297de7d31f35139430,,1,8,1,skliroi_diskoi.json
sha1:d10255e41f8c0b7563a97291d0421d1e6df9146b,,2,18,1,fritezes.json
sha1:d66ede97de4ad5ca59d47e1f5eb8e72dd8c3b86d,,1,15,1,asyrmata.json
sha1:d8a26f54f96aa5e4dffe693072345fc522d6d013,,2,14,1,voyrtses_psalidia_isiotika.json
sha1:d9dea745de8a37a14d73593871aba2a0d66e9cb9,,2,5,1,diafores_syskeyes.json
sha1:dc46728b1307adc50b9cbc09b0d86a3d7e3844db,,3,19,1,tostieres.json
sha1:de0e4b6ff62f1b91dd00e7ce7262248e889d7339,,3,21,1,thermopompoi.json
sha1:dfeb4ad735e983e44b9eb6c886f2a8f081bf07eb,,2,11,1,psifiakes_kornizes.json
sha1:e1766e08314ac36d209b59f610a5463473a777d9,,7,30,2,tablets_tandroid.json
sha1:e494f254364c65c21c899ec902f0832f9c5ef405,,1,18,1,wearables.json
sha1:e7171941e40746d1e332cdc440c1df5e3b93fc98,,6,31,1,entoixizomenoi_foyrnoi.json
sha1:e769d86b2b3d2f27cbcc8f05e0f98d81e916979d,,4,28,1,stegnotiria_rouxwn.json
sha1:e80720aff598ee551d0eaf2c77c53a7c1b7f0a5f,,3,27,1,hifi.json
sha1:e860a525b12059deb9e0d73c25c597ba3a006dcd,,1,16,1,skoypes.json
sha1:e8d74dddbc5db8f5c83796e31427d00a1c2de8f9,,3,5,1,maxairia.json
sha1:ec53b111b5ad215742172b04e55de12589cc4f64,,3,9,1,axesoyar_perifereiakon.json
sha1:f01f90ea7ede91062cf9431f54a3cea83c040481,,5,35,1,entoixizomena_plyntiria_royxon.json
sha1:f103dfff84886632a819ab4b17b48f9a89cf9575,,2,16,1,xytres_taxytitas.json
sha1:f2704dfe227e48220c6b26f6a6393efb70f2a3ae,,2,13,1,mplenter.json
sha1:f2e4597d9f340cfade24927391f8479c04a4b640,,3,19,1,atmomageires.json
sha1:f83a633c717f7d39bc719fea763a755be90f0ae4,,4,30,1,systimata_sideromatos.json
sha1:f8946b92f12cb64ac319de114c2e5c850d916b79,,1,6,1,skoypes_rompot.json
sha1:f93b5ef2ce2a5f6f4e8e7f7b45c664abc2e70a12,,2,15,1,aerioy.json
sha1:fb24efeacf0495fc3359e8528122e32ba3f7ec00,,1,9,1,pagotomixanes.json
sha1:fd4436f62fc83f6056f2fc641a982e41e383b00b,,1,7,1,electric_scooter.json
